Colorado January-December Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,58.6
197512,57.5
197612,59.1
197712,60.3
197812,58.0
197912,57.1
198012,59.4
198112,60.8
198212,57.3
198312,57.1
198412,56.6
198512,57.3
198612,59.7
198712,58.9
198812,59.1
198912,59.5
199012,59.2
199112,58.6
199212,58.7
199312,57.0
199412,60.4
199512,59.2
199612,59.7
199712,58.1
199812,59.6
199912,60.7
200012,61.0
200112,60.8
200212,60.5
200312,61.0
200412,59.5
200512,60.6
200612,60.6
200712,60.0
200812,59.0
200912,58.8
201012,60.0
201112,59.5
201212,63.0
201312,58.9
201412,59.7
201512,60.8
201612,61.3
201712,61.8
201812,61.3
201912,59.0
202012,61.8
202112,61.5
202212,60.5
202312,59.6
