Connecticut January-December Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,58.5
197512,58.9
197612,58.2
197712,58.3
197812,57.1
197912,58.4
198012,58.5
198112,58.7
198212,58.5
198312,59.6
198412,59.0
198512,58.9
198612,58.7
198712,59.2
198812,58.9
198912,58.2
199012,61.3
199112,61.5
199212,57.6
199312,59.0
199412,59.4
199512,59.3
199612,58.1
199712,58.8
199812,61.6
199912,61.5
200012,58.6
200112,60.9
200212,60.7
200312,57.9
200412,58.6
200512,59.8
200612,61.1
200712,59.8
200812,59.9
200912,58.5
201012,61.2
201112,60.7
201212,62.2
201312,59.6
201412,58.7
201512,60.4
201612,62.2
201712,60.7
201812,60.0
201912,59.4
202012,61.7
202112,60.9
202212,61.4
202312,62.0
