Delaware January-December Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,65.0
197512,64.9
197612,64.4
197712,64.8
197812,62.9
197912,63.4
198012,64.1
198112,63.5
198212,64.0
198312,64.8
198412,64.4
198512,65.4
198612,65.2
198712,65.0
198812,64.5
198912,63.6
199012,67.4
199112,67.3
199212,63.5
199312,64.7
199412,65.4
199512,65.2
199612,63.5
199712,64.9
199812,67.5
199912,66.9
200012,64.8
200112,66.5
200212,67.4
200312,64.0
200412,65.3
200512,65.5
200612,67.5
200712,66.4
200812,66.6
200912,64.8
201012,66.5
201112,67.4
201212,68.6
201312,65.2
201412,64.6
201512,66.2
201612,67.2
201712,67.1
201812,66.3
201912,67.2
202012,67.7
202112,67.2
202212,66.6
202312,67.8
