Idaho January-December Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,31.0
197512,30.4
197612,29.9
197712,31.2
197812,31.0
197912,30.1
198012,32.1
198112,32.7
198212,30.2
198312,32.3
198412,29.9
198512,27.7
198612,32.5
198712,31.9
198812,31.8
198912,31.0
199012,31.4
199112,31.6
199212,32.8
199312,29.6
199412,32.2
199512,32.4
199612,31.5
199712,31.7
199812,33.2
199912,31.5
200012,32.1
200112,32.0
200212,31.0
200312,33.5
200412,32.7
200512,31.6
200612,32.1
200712,32.5
200812,30.3
200912,31.0
201012,31.9
201112,30.8
201212,32.9
201312,31.7
201412,33.4
201512,34.4
201612,33.4
201712,32.7
201812,32.8
201912,31.6
202012,32.2
202112,33.4
202212,31.4
202312,32.4
