Kansas January-December Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,41.7
197512,41.2
197612,40.5
197712,42.9
197812,40.2
197912,39.7
198012,42.2
198112,43.2
198212,40.7
198312,41.9
198412,41.8
198512,40.6
198612,43.8
198712,43.4
198812,41.4
198912,40.0
199012,42.9
199112,43.1
199212,42.4
199312,40.8
199412,42.2
199512,41.5
199612,40.5
199712,41.8
199812,44.6
199912,43.4
200012,42.8
200112,43.4
200212,42.3
200312,42.3
200412,43.0
200512,43.5
200612,43.5
200712,43.3
200812,41.2
200912,41.3
201012,43.2
201112,42.1
201212,44.4
201312,41.2
201412,41.0
201512,43.9
201612,44.4
201712,43.7
201812,42.1
201912,42.0
202012,42.9
202112,43.5
202212,41.3
202312,43.2
