Kentucky January-December Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,44.8
197512,45.2
197612,41.5
197712,43.7
197812,42.5
197912,42.9
198012,43.5
198112,43.2
198212,44.3
198312,44.2
198412,44.5
198512,44.6
198612,45.8
198712,45.0
198812,42.6
198912,43.6
199012,46.1
199112,46.7
199212,44.6
199312,44.4
199412,44.1
199512,44.2
199612,43.7
199712,43.8
199812,47.6
199912,45.2
200012,44.5
200112,45.2
200212,46.1
200312,44.9
200412,45.8
200512,45.8
200612,45.9
200712,46.1
200812,44.0
200912,45.0
201012,44.9
201112,46.3
201212,46.8
201312,44.6
201412,43.4
201512,45.7
201612,46.8
201712,46.9
201812,46.9
201912,46.5
202012,46.7
202112,46.3
202212,45.0
202312,46.9
