Louisiana January-December Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,56.1
197512,55.6
197612,52.9
197712,55.2
197812,54.2
197912,54.0
198012,54.9
198112,55.0
198212,56.1
198312,53.9
198412,55.7
198512,56.0
198612,57.0
198712,54.9
198812,54.6
198912,55.2
199012,56.9
199112,57.2
199212,55.6
199312,55.2
199412,56.4
199512,56.1
199612,55.6
199712,55.9
199812,58.5
199912,56.4
200012,56.1
200112,56.2
200212,56.6
200312,55.9
200412,57.2
200512,56.6
200612,56.7
200712,57.0
200812,55.9
200912,56.7
201012,55.6
201112,56.5
201212,58.2
201312,56.0
201412,54.8
201512,58.0
201612,58.6
201712,58.8
201812,57.9
201912,57.7
202012,58.4
202112,57.8
202212,56.3
202312,59.0
