Massachusetts January-December Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,36.8
197512,38.0
197612,35.9
197712,37.0
197812,35.1
197912,38.2
198012,36.1
198112,37.0
198212,36.3
198312,38.4
198412,37.8
198512,36.9
198612,37.0
198712,37.0
198812,36.7
198912,36.4
199012,39.5
199112,39.0
199212,36.4
199312,36.9
199412,37.2
199512,37.6
199612,37.6
199712,37.3
199812,40.5
199912,39.2
200012,37.6
200112,38.5
200212,39.1
200312,37.4
200412,37.9
200512,38.3
200612,40.4
200712,38.1
200812,38.6
200912,38.1
201012,40.5
201112,39.8
201212,41.5
201312,38.8
201412,37.7
201512,37.7
201612,39.8
201712,39.9
201812,40.1
201912,38.7
202012,41.0
202112,41.4
202212,39.8
202312,41.7
