Minnesota January-December Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,29.4
197512,29.6
197612,28.2
197712,30.6
197812,28.1
197912,27.5
198012,29.5
198112,31.9
198212,28.8
198312,31.9
198412,30.9
198512,28.0
198612,31.2
198712,34.4
198812,29.9
198912,27.6
199012,31.1
199112,31.3
199212,31.1
199312,29.0
199412,30.6
199512,30.3
199612,27.2
199712,30.4
199812,35.0
199912,33.2
200012,31.2
200112,32.7
200212,32.0
200312,30.7
200412,30.9
200512,32.8
200612,34.1
200712,32.1
200812,28.8
200912,29.9
201012,32.5
201112,31.8
201212,34.3
201312,29.1
201412,28.6
201512,33.2
201612,34.9
201712,32.5
201812,30.6
201912,29.6
202012,32.0
202112,33.6
202212,29.7
202312,33.6
