Mississippi January-December Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,52.0
197512,52.3
197612,49.3
197712,51.7
197812,50.4
197912,50.6
198012,51.4
198112,51.2
198212,52.7
198312,50.8
198412,52.0
198512,52.3
198612,53.2
198712,51.7
198812,50.8
198912,51.6
199012,53.2
199112,53.8
199212,51.9
199312,51.8
199412,52.8
199512,52.2
199612,51.7
199712,52.1
199812,55.0
199912,52.9
200012,52.1
200112,52.3
200212,53.2
200312,52.3
200412,53.3
200512,52.8
200612,52.7
200712,53.3
200812,51.8
200912,52.8
201012,51.7
201112,52.7
201212,54.3
201312,52.3
201412,51.1
201512,54.5
201612,54.5
201712,55.0
201812,54.2
201912,54.5
202012,54.9
202112,54.0
202212,52.9
202312,55.2
