Missouri January-December Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,43.5
197512,43.8
197612,41.4
197712,44.1
197812,41.7
197912,40.9
198012,43.3
198112,43.9
198212,42.7
198312,43.5
198412,43.5
198512,42.5
198612,45.2
198712,45.3
198812,42.3
198912,41.6
199012,45.0
199112,45.2
199212,43.9
199312,43.1
199412,43.7
199512,43.3
199612,42.2
199712,43.3
199812,47.2
199912,45.1
200012,44.2
200112,45.0
200212,44.3
200312,43.6
200412,44.6
200512,45.3
200612,45.5
200712,45.4
200812,42.8
200912,43.7
201012,44.6
201112,44.9
201212,46.7
201312,43.1
201412,42.1
201512,45.4
201612,46.8
201712,46.1
201812,44.6
201912,44.9
202012,45.3
202112,45.9
202212,43.5
202312,46.0
