Montana January-December Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,30.2
197512,28.1
197612,30.2
197712,29.5
197812,27.4
197912,27.6
198012,29.9
198112,31.7
198212,27.4
198312,30.1
198412,29.8
198512,27.2
198612,31.4
198712,31.8
198812,31.0
198912,29.0
199012,30.2
199112,31.0
199212,31.0
199312,28.2
199412,30.2
199512,29.9
199612,27.4
199712,30.3
199812,32.0
199912,31.8
200012,29.8
200112,31.1
200212,29.3
200312,31.0
200412,30.8
200512,30.8
200612,32.0
200712,31.6
200812,28.8
200912,28.9
201012,29.8
201112,29.8
201212,31.9
201312,30.5
201412,30.1
201512,32.4
201612,32.6
201712,31.0
201812,29.5
201912,28.4
202012,31.0
202112,31.2
202212,29.8
202312,32.1
