Nebraska January-December Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,35.9
197512,35.1
197612,35.5
197712,37.3
197812,33.7
197912,34.1
198012,36.4
198112,37.5
198212,34.9
198312,36.5
198412,36.4
198512,34.4
198612,38.0
198712,38.1
198812,36.1
198912,34.5
199012,37.0
199112,37.5
199212,36.8
199312,34.7
199412,36.5
199512,36.2
199612,34.4
199712,36.4
199812,38.8
199912,38.0
200012,36.9
200112,38.0
200212,36.9
200312,36.9
200412,37.2
200512,38.0
200612,37.9
200712,37.8
200812,35.2
200912,35.4
201012,37.3
201112,36.3
201212,38.3
201312,36.0
201412,35.2
201512,38.3
201612,39.0
201712,38.0
201812,36.4
201912,35.9
202012,37.5
202112,38.3
202212,35.6
202312,37.8
