New Hampshire January-December Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,31.4
197512,32.4
197612,30.4
197712,32.0
197812,29.7
197912,33.2
198012,30.6
198112,32.6
198212,30.6
198312,33.3
198412,32.5
198512,31.3
198612,31.9
198712,32.1
198812,31.6
198912,30.6
199012,34.1
199112,33.3
199212,31.1
199312,31.3
199412,31.6
199512,32.5
199612,32.7
199712,31.6
199812,35.5
199912,34.2
200012,32.4
200112,33.0
200212,33.8
200312,31.8
200412,32.4
200512,33.3
200612,35.7
200712,32.3
200812,33.1
200912,32.4
201012,35.8
201112,34.5
201212,36.0
201312,33.6
201412,32.5
201512,32.3
201612,34.7
201712,34.6
201812,34.4
201912,32.7
202012,35.2
202112,36.0
202212,34.3
202312,37.1
