New Jersey January-December Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,41.9
197512,43.2
197612,40.5
197712,41.6
197812,40.2
197912,42.0
198012,41.2
198112,41.3
198212,41.2
198312,42.5
198412,42.3
198512,42.4
198612,42.1
198712,42.3
198812,41.0
198912,41.7
199012,44.2
199112,43.8
199212,41.5
199312,42.1
199412,41.6
199512,42.3
199612,41.9
199712,41.7
199812,45.1
199912,43.5
200012,42.3
200112,43.1
200212,44.0
200312,42.5
200412,43.5
200512,43.4
200612,44.8
200712,43.5
200812,43.3
200912,43.3
201012,44.7
201112,45.0
201212,46.0
201312,43.6
201412,41.9
201512,43.6
201612,44.6
201712,44.9
201812,44.9
201912,44.5
202012,45.8
202112,45.4
202212,43.9
202312,45.4
