New York January-December Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,34.2
197512,35.7
197612,32.9
197712,34.8
197812,32.6
197912,34.9
198012,33.5
198112,34.9
198212,33.9
198312,35.6
198412,35.3
198512,34.8
198612,35.5
198712,35.7
198812,34.5
198912,33.7
199012,37.3
199112,36.8
199212,34.1
199312,34.0
199412,34.0
199512,35.1
199612,35.1
199712,34.4
199812,38.7
199912,36.4
200012,35.2
200112,36.8
200212,36.9
200312,34.7
200412,35.4
200512,36.1
200612,38.1
200712,35.5
200812,35.8
200912,35.1
201012,37.7
201112,37.5
201212,38.9
201312,36.1
201412,34.7
201512,35.2
201612,37.3
201712,37.3
201812,36.9
201912,35.4
202012,38.1
202112,38.3
202212,36.0
202312,38.7
