Oklahoma January-December Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,47.5
197512,46.7
197612,45.4
197712,48.4
197812,46.4
197912,45.4
198012,47.7
198112,48.5
198212,46.9
198312,46.6
198412,47.2
198512,47.1
198612,49.3
198712,47.9
198812,46.6
198912,45.9
199012,48.5
199112,48.6
199212,47.9
199312,46.7
199412,47.7
199512,47.3
199612,46.6
199712,47.4
199812,50.5
199912,49.0
200012,48.3
200112,49.0
200212,47.7
200312,47.7
200412,48.8
200512,48.7
200612,49.2
200712,49.1
200812,47.1
200912,47.5
201012,48.6
201112,48.6
201212,50.3
201312,46.9
201412,46.8
201512,49.2
201612,50.0
201712,49.6
201812,48.2
201912,48.3
202012,48.7
202112,48.8
202212,47.8
202312,49.4
