Oregon January-December Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,35.4
197512,35.2
197612,34.7
197712,35.7
197812,35.7
197912,35.8
198012,36.1
198112,36.7
198212,34.9
198312,37.0
198412,35.2
198512,32.9
198612,37.0
198712,36.3
198812,36.0
198912,35.0
199012,35.8
199112,36.3
199212,37.7
199312,34.6
199412,36.1
199512,37.2
199612,36.3
199712,36.6
199812,37.1
199912,35.6
200012,36.1
200112,36.0
200212,35.6
200312,37.6
200412,37.2
200512,36.2
200612,36.2
200712,35.8
200812,34.9
200912,35.5
201012,36.2
201112,35.0
201212,36.3
201312,35.8
201412,38.1
201512,38.5
201612,37.4
201712,36.8
201812,36.7
201912,36.0
202012,37.0
202112,37.4
202212,36.4
202312,36.9
