Rhode Island January-December Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,39.6
197512,40.9
197612,38.5
197712,39.8
197812,37.8
197912,40.9
198012,38.9
198112,39.4
198212,39.0
198312,41.0
198412,40.7
198512,39.6
198612,39.6
198712,39.6
198812,39.4
198912,39.1
199012,42.1
199112,41.4
199212,39.1
199312,39.8
199412,39.9
199512,40.4
199612,40.1
199712,40.0
199812,42.8
199912,41.8
200012,40.2
200112,41.5
200212,41.7
200312,40.0
200412,40.2
200512,40.9
200612,42.8
200712,40.8
200812,41.4
200912,40.8
201012,42.7
201112,42.4
201212,43.6
201312,41.4
201412,40.3
201512,40.6
201612,42.5
201712,42.4
201812,42.8
201912,41.5
202012,43.5
202112,43.5
202212,42.4
202312,43.8
