Arkansas January-December Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,49.5
197512,49.0
197612,46.9
197712,49.4
197812,47.6
197912,47.2
198012,48.7
198112,48.9
198212,49.1
198312,48.1
198412,49.0
198512,48.9
198612,50.5
198712,49.5
198812,47.8
198912,48.0
199012,50.5
199112,50.9
199212,49.2
199312,48.7
199412,49.7
199512,49.2
199612,48.7
199712,49.0
199812,52.6
199912,50.4
200012,49.8
200112,50.3
200212,50.0
200312,49.6
200412,50.7
200512,50.6
200612,50.4
200712,51.0
200812,48.9
200912,49.7
201012,50.0
201112,50.6
201212,52.1
201312,49.0
201412,48.1
201512,50.9
201612,52.1
201712,51.8
201812,50.8
201912,50.9
202012,51.0
202112,50.7
202212,49.6
202312,51.9
