South Dakota January-December Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,32.6
197512,31.9
197612,32.6
197712,33.6
197812,30.2
197912,30.3
198012,33.2
198112,34.7
198212,31.3
198312,33.6
198412,33.2
198512,30.5
198612,34.5
198712,36.2
198812,33.4
198912,31.7
199012,34.0
199112,34.8
199212,33.8
199312,31.2
199412,33.0
199512,33.6
199612,30.2
199712,33.4
199812,36.2
199912,35.6
200012,33.5
200112,34.6
200212,33.8
200312,33.7
200412,34.0
200512,35.0
200612,35.7
200712,34.8
200812,31.7
200912,32.1
201012,33.9
201112,33.2
201212,35.9
201312,32.4
201412,31.7
201512,35.2
201612,36.1
201712,34.5
201812,32.7
201912,31.9
202012,34.4
202112,35.5
202212,32.2
202312,34.8
