Utah January-December Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,34.6
197512,33.2
197612,33.9
197712,35.7
197812,35.6
197912,33.8
198012,35.9
198112,37.5
198212,34.6
198312,36.5
198412,33.8
198512,34.6
198612,37.0
198712,35.9
198812,35.4
198912,35.2
199012,35.9
199112,35.1
199212,36.4
199312,34.4
199412,36.9
199512,36.4
199612,36.6
199712,35.7
199812,36.1
199912,35.8
200012,37.5
200112,37.0
200212,35.4
200312,37.7
200412,36.3
200512,36.7
200612,36.1
200712,36.5
200812,34.8
200912,35.3
201012,35.8
201112,34.9
201212,37.6
201312,35.1
201412,37.7
201512,38.2
201612,37.5
201712,37.7
201812,37.5
201912,35.5
202012,36.8
202112,37.7
202212,36.2
202312,35.9
