Virginia January-December Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,44.1
197512,44.5
197612,41.9
197712,43.5
197812,42.6
197912,43.2
198012,43.1
198112,42.3
198212,43.8
198312,43.5
198412,44.2
198512,44.4
198612,44.7
198712,44.0
198812,42.1
198912,43.7
199012,45.9
199112,45.7
199212,44.0
199312,44.1
199412,43.9
199512,44.0
199612,43.4
199712,43.3
199812,46.4
199912,44.6
200012,43.7
200112,44.0
200212,45.4
200312,44.7
200412,45.5
200512,45.1
200612,45.2
200712,45.3
200812,44.5
200912,44.7
201012,44.8
201112,46.0
201212,46.4
201312,44.8
201412,43.6
201512,45.9
201612,46.4
201712,46.5
201812,46.6
201912,46.8
202012,47.1
202112,46.1
202212,45.1
202312,46.3
