California January-December Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,45.1
197512,43.8
197612,44.4
197712,45.4
197812,45.6
197912,45.3
198012,45.6
198112,47.0
198212,44.7
198312,46.5
198412,46.0
198512,44.7
198612,46.5
198712,45.8
198812,45.8
198912,45.1
199012,45.0
199112,45.5
199212,47.1
199312,45.5
199412,45.4
199512,46.9
199612,47.2
199712,46.8
199812,45.2
199912,45.1
200012,46.3
200112,46.5
200212,45.7
200312,47.0
200412,46.3
200512,46.4
200612,46.0
200712,45.8
200812,46.0
200912,45.9
201012,45.7
201112,44.9
201212,46.5
201312,46.1
201412,48.7
201512,48.1
201612,47.7
201712,48.0
201812,47.5
201912,46.4
202012,47.5
202112,47.6
202212,46.8
202312,46.2
