Colorado January-December Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,30.2
197512,29.5
197612,30.4
197712,32.2
197812,31.0
197912,29.9
198012,31.8
198112,33.4
198212,30.9
198312,31.7
198412,30.7
198512,30.9
198612,33.0
198712,31.6
198812,31.1
198912,31.2
199012,32.0
199112,31.5
199212,31.9
199312,30.7
199412,32.6
199512,32.2
199612,31.8
199712,31.6
199812,32.9
199912,32.6
200012,33.0
200112,32.9
200212,31.6
200312,33.1
200412,32.2
200512,32.9
200612,32.5
200712,32.3
200812,30.9
200912,31.6
201012,32.3
201112,31.4
201212,33.7
201312,31.3
201412,32.4
201512,34.1
201612,33.3
201712,34.1
201812,33.0
201912,31.5
202012,32.8
202112,33.5
202212,31.8
202312,32.2
