Connecticut January-December Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,37.9
197512,39.2
197612,37.0
197712,38.0
197812,36.3
197912,39.3
198012,37.4
198112,38.2
198212,37.3
198312,39.2
198412,38.9
198512,38.4
198612,38.4
198712,38.5
198812,37.8
198912,37.7
199012,40.9
199112,40.4
199212,37.8
199312,38.3
199412,38.4
199512,38.8
199612,38.6
199712,38.5
199812,41.6
199912,40.1
200012,38.5
200112,39.6
200212,40.2
200312,38.4
200412,38.9
200512,39.2
200612,41.1
200712,39.2
200812,39.5
200912,39.1
201012,41.5
201112,41.0
201212,42.7
201312,40.0
201412,38.7
201512,39.2
201612,41.3
201712,41.2
201812,41.6
201912,40.2
202012,41.9
202112,41.9
202212,40.6
202312,42.4
