Delaware January-December Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,44.3
197512,45.5
197612,43.1
197712,44.5
197812,42.9
197912,44.2
198012,44.1
198112,43.6
198212,43.9
198312,45.0
198412,45.0
198512,45.3
198612,45.0
198712,44.8
198812,43.7
198912,44.8
199012,47.0
199112,46.6
199212,44.4
199312,45.0
199412,44.7
199512,45.0
199612,44.5
199712,44.7
199812,47.3
199912,46.1
200012,44.7
200112,45.6
200212,46.9
200312,45.2
200412,46.4
200512,45.9
200612,47.2
200712,46.1
200812,46.0
200912,46.0
201012,46.9
201112,47.4
201212,48.4
201312,46.4
201412,44.9
201512,46.6
201612,47.5
201712,48.1
201812,48.0
201912,47.7
202012,48.3
202112,47.6
202212,46.5
202312,47.9
