Florida January-December Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,59.8
197512,60.4
197612,58.0
197712,58.3
197812,59.0
197912,59.2
198012,59.1
198112,57.5
198212,61.1
198312,58.9
198412,59.2
198512,60.0
198612,60.8
198712,59.5
198812,58.8
198912,60.0
199012,61.4
199112,61.6
199212,59.9
199312,59.6
199412,61.5
199512,60.4
199612,59.0
199712,60.7
199812,62.2
199912,60.1
200012,59.1
200112,60.1
200212,60.8
200312,60.5
200412,60.3
200512,60.7
200612,60.3
200712,61.1
200812,60.2
200912,60.7
201012,58.3
201112,60.6
201212,61.4
201312,61.6
201412,60.1
201512,63.6
201612,62.1
201712,62.5
201812,62.2
201912,63.1
202012,63.2
202112,62.2
202212,62.2
202312,62.9
