Alabama January-December Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
197412,51.2
197512,51.6
197612,48.4
197712,50.6
197812,49.8
197912,50.0
198012,50.5
198112,49.6
198212,51.9
198312,49.9
198412,50.8
198512,51.5
198612,52.4
198712,51.0
198812,50.0
198912,51.1
199012,52.5
199112,53.1
199212,51.0
199312,50.9
199412,52.0
199512,51.5
199612,50.6
199712,51.3
199812,53.9
199912,51.9
200012,51.2
200112,51.4
200212,52.4
200312,51.6
200412,52.4
200512,51.9
200612,51.7
200712,52.0
200812,51.1
200912,52.1
201012,50.7
201112,51.7
201212,53.3
201312,51.9
201412,50.4
201512,53.8
201612,53.4
201712,53.9
201812,53.7
201912,54.1
202012,54.1
202112,53.3
202212,52.4
202312,53.9
