Indiana August Palmer Drought Severity Index (PDSI)
Missing: -99
Date,Value
197408,1.69
197508,2.24
197608,0.15
197708,1.53
197808,2.09
197908,4.10
198008,2.33
198108,2.41
198208,1.81
198308,-1.97
198408,-1.54
198508,1.02
198608,0.71
198708,-1.08
198808,-3.81
198908,2.21
199008,3.88
199108,-2.68
199208,2.04
199308,2.97
199408,-0.58
199508,-0.40
199608,2.12
199708,2.98
199808,2.60
199908,-1.75
200008,1.57
200108,1.21
200208,-1.54
200308,2.54
200408,3.34
200508,-0.78
200608,1.90
200708,-1.49
200808,2.85
200908,2.84
201008,-0.78
201108,1.78
201208,-0.04
201308,-0.70
201408,2.18
201508,3.69
201608,3.15
201708,2.53
201808,2.79
201908,4.27
202008,-0.07
202108,1.35
202208,0.65
202308,-0.62
