Maryland August Palmer Drought Severity Index (PDSI)
Missing: -99
Date,Value
197408,-0.58
197508,2.38
197608,-2.02
197708,-2.72
197808,2.31
197908,3.14
198008,-1.23
198108,-1.36
198208,-0.50
198308,-1.76
198408,0.54
198508,0.18
198608,-3.05
198708,-3.31
198808,-2.11
198908,2.91
199008,1.30
199108,-3.26
199208,0.55
199308,-2.04
199408,-0.42
199508,-2.93
199608,3.60
199708,-1.38
199808,-1.34
199908,-4.40
200008,1.97
200108,0.75
200208,-4.46
200308,4.04
200408,3.38
200508,-0.55
200608,-1.29
200708,-2.68
200808,-1.22
200908,1.62
201008,-2.78
201108,1.25
201208,-2.48
201308,1.50
201408,-0.16
201508,-0.51
201608,0.17
201708,1.58
201808,3.22
201908,-0.46
202008,1.35
202108,0.34
202208,-0.51
202308,-2.33
