Arizona August Palmer Drought Severity Index (PDSI)
Missing: -99
Date,Value
197408,-3.37
197508,-1.83
197608,-1.72
197708,-2.35
197808,2.70
197908,6.12
198008,-0.52
198108,-2.39
198208,1.18
198308,5.72
198408,2.11
198508,2.35
198608,0.38
198708,-0.32
198808,1.83
198908,-3.87
199008,1.04
199108,-0.87
199208,5.27
199308,-0.25
199408,-2.77
199508,-0.81
199608,-5.19
199708,0.01
199808,-0.40
199908,1.53
200008,-4.49
200108,-0.61
200208,-6.20
200308,-3.88
200408,-4.37
200508,-0.17
200608,-3.49
200708,-4.11
200808,-0.60
200908,-4.06
201008,-0.27
201108,-3.48
201208,-3.43
201308,-2.57
201408,-3.34
201508,0.24
201608,-2.39
201708,-1.28
201808,-4.49
201908,-1.91
202008,-2.57
202108,-3.14
202208,0.96
202308,-1.37
