Michigan August Palmer Drought Severity Index (PDSI)
Missing: -99
Date,Value
197408,1.73
197508,3.33
197608,-1.99
197708,0.81
197808,0.42
197908,2.28
198008,1.19
198108,1.21
198208,1.47
198308,-1.51
198408,-0.87
198508,2.20
198608,2.20
198708,1.31
198808,0.19
198908,-0.54
199008,1.05
199108,-0.83
199208,1.38
199308,2.78
199408,3.27
199508,-0.83
199608,1.51
199708,-0.14
199808,-2.65
199908,-1.26
200008,1.38
200108,-0.80
200208,-0.33
200308,-1.72
200408,2.21
200508,-2.72
200608,0.30
200708,-1.73
200808,1.07
200908,3.11
201008,1.30
201108,1.56
201208,-1.93
201308,2.63
201408,2.76
201508,-0.23
201608,1.07
201708,2.60
201808,1.94
201908,3.09
202008,3.81
202108,1.60
202208,-0.34
202308,1.08
