Minnesota August Palmer Drought Severity Index (PDSI)
Missing: -99
Date,Value
197408,-0.09
197508,-0.68
197608,-4.24
197708,0.67
197808,2.92
197908,3.54
198008,-2.22
198108,1.65
198208,1.56
198308,2.34
198408,1.27
198508,3.17
198608,4.11
198708,-2.10
198808,-5.89
198908,-2.87
199008,-0.29
199108,1.35
199208,2.49
199308,5.75
199408,3.01
199508,2.41
199608,1.38
199708,2.46
199808,-0.33
199908,3.53
200008,1.85
200108,-0.58
200208,2.75
200308,-1.35
200408,1.47
200508,1.84
200608,-2.54
200708,0.14
200808,0.74
200908,-0.85
201008,1.89
201108,-0.40
201208,-2.71
201308,-1.18
201408,-0.12
201508,1.54
201608,3.52
201708,3.01
201808,2.02
201908,3.91
202008,1.11
202108,-3.64
202208,-0.94
202308,-3.76
