Mississippi August Palmer Drought Severity Index (PDSI)
Missing: -99
Date,Value
197408,3.66
197508,4.90
197608,-0.70
197708,-1.72
197808,-0.35
197908,3.38
198008,-1.48
198108,-2.81
198208,0.68
198308,3.57
198408,1.78
198508,0.77
198608,-2.97
198708,-0.54
198808,-2.67
198908,3.27
199008,-1.43
199108,-0.37
199208,2.34
199308,1.01
199408,1.97
199508,-0.33
199608,0.34
199708,2.44
199808,-1.89
199908,-2.09
200008,-4.71
200108,1.92
200208,0.92
200308,3.87
200408,3.25
200508,1.31
200608,-3.18
200708,-3.11
200808,1.57
200908,1.14
201008,-1.41
201108,-3.53
201208,2.16
201308,1.94
201408,2.36
201508,-0.54
201608,0.45
201708,3.46
201808,0.10
201908,3.28
202008,3.83
202108,5.48
202208,1.79
202308,-1.23
