Missouri August Palmer Drought Severity Index (PDSI)
Missing: -99
Date,Value
197408,2.73
197508,0.37
197608,-1.56
197708,0.72
197808,1.56
197908,1.88
198008,-3.29
198108,3.25
198208,3.54
198308,-2.08
198408,-1.22
198508,3.41
198608,0.96
198708,0.61
198808,-2.39
198908,1.01
199008,2.43
199108,-1.77
199208,1.15
199308,4.76
199408,2.79
199508,-0.03
199608,1.12
199708,1.58
199808,2.35
199908,-1.15
200008,-0.27
200108,1.00
200208,-0.80
200308,-0.32
200408,2.35
200508,-1.20
200608,-2.25
200708,-0.77
200808,4.33
200908,4.19
201008,3.59
201108,-0.89
201208,-4.31
201308,2.18
201408,0.69
201508,3.80
201608,3.18
201708,2.36
201808,0.55
201908,4.66
202008,3.62
202108,2.50
202208,-0.54
202308,-1.12
