Arkansas August Palmer Drought Severity Index (PDSI)
Missing: -99
Date,Value
197408,3.80
197508,3.70
197608,-0.31
197708,-1.71
197808,-0.88
197908,3.64
198008,-3.06
198108,1.71
198208,0.83
198308,-1.07
198408,0.60
198508,-0.95
198608,-0.37
198708,-1.93
198808,-2.04
198908,3.30
199008,1.15
199108,1.48
199208,2.03
199308,-1.02
199408,1.90
199508,-0.90
199608,0.92
199708,2.01
199808,-2.36
199908,-1.75
200008,-2.66
200108,-1.70
200208,-0.44
200308,1.07
200408,1.62
200508,-2.40
200608,-3.52
200708,-1.62
200808,2.52
200908,3.36
201008,-2.11
201108,-2.47
201208,-3.57
201308,0.86
201408,1.86
201508,2.05
201608,2.89
201708,2.75
201808,0.89
201908,4.96
202008,4.58
202108,3.10
202208,-0.31
202308,-0.02
