Ohio August Palmer Drought Severity Index (PDSI)
Missing: -99
Date,Value
197408,1.93
197508,2.05
197608,1.14
197708,0.73
197808,-0.08
197908,3.31
198008,4.83
198108,2.22
198208,-0.96
198308,-1.49
198408,-1.19
198508,-0.90
198608,0.43
198708,-1.25
198808,-4.06
198908,2.02
199008,3.39
199108,-3.27
199208,2.86
199308,-1.44
199408,0.50
199508,-0.29
199608,2.10
199708,3.43
199808,-0.04
199908,-2.95
200008,1.29
200108,-0.43
200208,-1.90
200308,3.26
200408,3.85
200508,-1.10
200608,1.05
200708,0.68
200808,-0.70
200908,0.31
201008,-0.77
201108,2.52
201208,-3.27
201308,1.81
201408,2.53
201508,-0.26
201608,-0.97
201708,1.79
201808,2.64
201908,4.78
202008,-1.02
202108,1.29
202208,2.39
202308,1.21
