South Carolina August Palmer Drought Severity Index (PDSI)
Missing: -99
Date,Value
197408,1.18
197508,2.85
197608,1.54
197708,-2.19
197808,-0.77
197908,1.59
198008,-2.41
198108,-2.38
198208,1.21
198308,-2.44
198408,-0.30
198508,1.34
198608,0.95
198708,-2.28
198808,-2.29
198908,1.88
199008,-2.42
199108,3.09
199208,1.02
199308,-3.15
199408,1.70
199508,2.81
199608,0.00
199708,0.77
199808,-1.88
199908,-3.06
200008,-3.07
200108,-2.92
200208,-4.82
200308,0.01
200408,0.63
200508,-0.04
200608,-1.75
200708,-3.01
200808,0.36
200908,-1.02
201008,-2.02
201108,-4.75
201208,1.34
201308,4.02
201408,-0.86
201508,-2.14
201608,-2.09
201708,-0.18
201808,-0.62
201908,-1.95
202008,2.46
202108,0.91
202208,-1.41
202308,1.55
