Texas August Palmer Drought Severity Index (PDSI)
Missing: -99
Date,Value
197408,1.67
197508,5.20
197608,0.60
197708,-0.91
197808,0.14
197908,4.80
198008,-2.36
198108,2.04
198208,-0.64
198308,-0.10
198408,-2.82
198508,1.61
198608,0.59
198708,5.39
198808,-1.23
198908,-0.76
199008,0.36
199108,1.95
199208,6.27
199308,-0.46
199408,-1.33
199508,2.81
199608,1.43
199708,3.80
199808,0.51
199908,-0.57
200008,-5.32
200108,-1.10
200208,0.36
200308,-1.26
200408,3.37
200508,-0.37
200608,-5.28
200708,7.70
200808,-1.82
200908,-4.70
201008,-0.46
201108,-7.86
201208,-4.01
201308,-4.67
201408,-3.20
201508,4.19
201608,5.75
201708,2.47
201808,-3.69
201908,-0.62
202008,-2.48
202108,2.53
202208,-5.08
202308,-4.65
