Vermont August Palmer Drought Severity Index (PDSI)
Missing: -99
Date,Value
197408,3.27
197508,0.39
197608,4.66
197708,0.25
197808,-0.83
197908,-1.29
198008,-2.66
198108,1.36
198208,-0.82
198308,1.73
198408,-0.43
198508,0.16
198608,2.15
198708,0.38
198808,-1.31
198908,1.47
199008,3.34
199108,0.65
199208,0.24
199308,-1.05
199408,1.60
199508,-2.67
199608,3.27
199708,2.47
199808,3.26
199908,-3.02
200008,2.85
200108,-2.83
200208,-1.43
200308,0.61
200408,2.95
200508,1.04
200608,4.35
200708,2.68
200808,5.23
200908,3.87
201008,1.28
201108,6.13
201208,-2.12
201308,2.70
201408,-0.04
201508,-0.56
201608,-1.09
201708,-0.07
201808,-1.18
201908,2.24
202008,-1.40
202108,1.14
202208,-1.36
202308,4.06
