Connecticut August Palmer Drought Severity Index (PDSI)
Missing: -99
Date,Value
197408,-0.82
197508,1.04
197608,1.88
197708,-0.71
197808,-0.41
197908,-0.75
198008,-1.09
198108,-2.52
198208,-0.48
198308,-1.42
198408,-0.74
198508,1.59
198608,1.25
198708,-1.80
198808,-0.52
198908,3.38
199008,2.57
199108,1.13
199208,2.22
199308,-2.55
199408,0.91
199508,-2.90
199608,1.57
199708,-0.32
199808,-0.53
199908,-3.12
200008,2.02
200108,-0.58
200208,0.02
200308,1.26
200408,0.61
200508,-1.91
200608,3.19
200708,-1.14
200808,1.89
200908,2.73
201008,-2.12
201108,2.99
201208,-2.07
201308,-0.16
201408,-0.94
201508,-2.57
201608,-3.85
201708,-2.18
201808,0.68
201908,2.04
202008,-2.31
202108,2.04
202208,-2.92
202308,2.37
