Delaware August Palmer Drought Severity Index (PDSI)
Missing: -99
Date,Value
197408,-0.74
197508,2.33
197608,-2.65
197708,-3.09
197808,2.28
197908,2.85
198008,-1.54
198108,-1.73
198208,-0.49
198308,1.48
198408,-0.72
198508,-2.46
198608,-3.49
198708,-3.26
198808,-2.31
198908,3.97
199008,-0.15
199108,-1.95
199208,0.64
199308,-1.79
199408,-0.30
199508,-3.23
199608,2.96
199708,-0.84
199808,-1.26
199908,-3.71
200008,2.10
200108,1.42
200208,-3.80
200308,3.70
200408,2.39
200508,-0.64
200608,1.25
200708,-2.25
200808,-2.45
200908,1.95
201008,-3.00
201108,-1.98
201208,0.06
201308,3.07
201408,-0.48
201508,-0.66
201608,0.27
201708,1.97
201808,1.52
201908,-0.78
202008,1.28
202108,-0.51
202208,-2.83
202308,0.11
