Georgia August Palmer Drought Severity Index (PDSI)
Missing: -99
Date,Value
197408,1.60
197508,3.09
197608,1.77
197708,-0.03
197808,-0.63
197908,1.39
198008,-2.55
198108,-3.51
198208,0.63
198308,-1.94
198408,-0.12
198508,1.06
198608,-3.75
198708,-2.14
198808,-3.52
198908,2.27
199008,-2.91
199108,3.54
199208,1.79
199308,-3.06
199408,2.97
199508,0.42
199608,0.04
199708,0.07
199808,-2.52
199908,-3.30
200008,-4.98
200108,-1.58
200208,-4.10
200308,4.27
200408,0.39
200508,3.91
200608,-3.62
200708,-4.60
200808,-2.67
200908,0.17
201008,-1.65
201108,-5.27
201208,-3.45
201308,5.09
201408,-1.33
201508,0.15
201608,-2.94
201708,1.09
201808,1.62
201908,-2.17
202008,1.61
202108,2.83
202208,-1.42
202308,1.07
