Louisiana August Palmer Hydrological Drought Index (PHDI)
Missing: -99
Date,Value
197408,2.51
197508,4.95
197608,-1.04
197708,-0.57
197808,0.56
197908,2.35
198008,0.63
198108,-2.37
198208,-2.01
198308,3.35
198408,1.66
198508,-1.71
198608,-2.22
198708,1.41
198808,-0.72
198908,3.37
199008,-1.84
199108,4.11
199208,3.10
199308,1.74
199408,1.11
199508,0.88
199608,-1.02
199708,1.60
199808,-3.43
199908,-2.08
200008,-4.70
200108,1.98
200208,-1.22
200308,0.90
200408,2.22
200508,-1.83
200608,-3.77
200708,0.74
200808,-1.09
200908,-1.85
201008,-2.23
201108,-5.91
201208,1.76
201308,-0.88
201408,2.06
201508,-1.59
201608,4.46
201708,4.80
201808,-2.39
201908,3.06
202008,2.24
202108,4.34
202208,-0.60
202308,-3.72
