Maryland August Palmer Hydrological Drought Index (PHDI)
Missing: -99
Date,Value
197408,-0.58
197508,2.38
197608,-2.02
197708,-2.72
197808,2.31
197908,3.14
198008,0.60
198108,-1.36
198208,-0.50
198308,-1.76
198408,2.68
198508,-1.92
198608,-3.05
198708,-3.31
198808,-2.11
198908,2.91
199008,1.74
199108,-3.26
199208,-1.62
199308,-2.04
199408,1.55
199508,-2.93
199608,3.60
199708,0.88
199808,0.99
199908,-4.40
200008,1.97
200108,0.75
200208,-4.46
200308,4.04
200408,3.38
200508,0.98
200608,-1.29
200708,-2.68
200808,-1.22
200908,1.62
201008,-2.78
201108,-0.87
201208,-2.48
201308,1.50
201408,1.59
201508,1.14
201608,0.17
201708,1.58
201808,3.22
201908,2.54
202008,1.35
202108,1.20
202208,-0.51
202308,-2.33
