Massachusetts August Palmer Hydrological Drought Index (PHDI)
Missing: -99
Date,Value
197408,0.72
197508,1.41
197608,1.18
197708,0.55
197808,1.25
197908,1.65
198008,-1.88
198108,-2.37
198208,1.82
198308,1.62
198408,3.42
198508,-0.87
198608,2.08
198708,-1.83
198808,0.96
198908,2.58
199008,2.58
199108,1.07
199208,1.55
199308,-2.84
199408,0.55
199508,-2.80
199608,2.23
199708,1.32
199808,2.03
199908,-2.68
200008,2.31
200108,-0.18
200208,-2.14
200308,1.81
200408,0.72
200508,-1.21
200608,3.35
200708,1.02
200808,2.67
200908,4.15
201008,0.72
201108,2.74
201208,-1.68
201308,1.93
201408,0.96
201508,-1.38
201608,-3.33
201708,-0.86
201808,0.88
201908,2.68
202008,-2.17
202108,2.94
202208,-3.06
202308,3.05
