Arizona August Palmer Hydrological Drought Index (PHDI)
Missing: -99
Date,Value
197408,-3.37
197508,-1.83
197608,-1.72
197708,-2.35
197808,2.70
197908,6.12
198008,3.99
198108,-2.39
198208,1.18
198308,5.72
198408,2.11
198508,2.35
198608,-0.83
198708,-0.32
198808,1.83
198908,-3.87
199008,-2.17
199108,0.74
199208,5.27
199308,5.39
199408,-2.77
199508,2.08
199608,-5.19
199708,-3.78
199808,3.13
199908,-1.04
200008,-4.49
200108,-0.61
200208,-6.20
200308,-3.88
200408,-4.37
200508,4.20
200608,-3.49
200708,-4.11
200808,-0.60
200908,-4.06
201008,1.78
201108,-3.48
201208,-3.43
201308,-2.57
201408,-3.34
201508,-1.49
201608,-2.39
201708,-1.28
201808,-4.49
201908,-1.91
202008,-2.57
202108,-3.14
202208,-2.80
202308,-1.37
