Michigan August Palmer Hydrological Drought Index (PHDI)
Missing: -99
Date,Value
197408,1.73
197508,3.33
197608,0.92
197708,-2.99
197808,0.42
197908,2.28
198008,1.19
198108,1.21
198208,1.47
198308,1.00
198408,-0.87
198508,2.20
198608,2.20
198708,-2.01
198808,-3.22
198908,0.65
199008,1.05
199108,0.72
199208,1.38
199308,2.78
199408,3.27
199508,-0.83
199608,1.51
199708,1.87
199808,-2.65
199908,-1.26
200008,-0.55
200108,-0.80
200208,1.51
200308,-1.72
200408,2.21
200508,-2.72
200608,-1.03
200708,-1.73
200808,1.07
200908,3.11
201008,1.30
201108,1.56
201208,-1.93
201308,2.63
201408,2.76
201508,1.43
201608,1.07
201708,2.60
201808,1.94
201908,3.09
202008,3.81
202108,1.60
202208,1.30
202308,1.08
