Minnesota August Palmer Hydrological Drought Index (PHDI)
Missing: -99
Date,Value
197408,1.89
197508,1.07
197608,-4.24
197708,-4.70
197808,2.92
197908,3.54
198008,-2.22
198108,1.65
198208,1.56
198308,2.34
198408,1.27
198508,3.17
198608,4.11
198708,-2.10
198808,-5.89
198908,-2.87
199008,-1.54
199108,1.35
199208,2.49
199308,5.75
199408,3.01
199508,2.41
199608,1.38
199708,2.46
199808,1.13
199908,3.53
200008,1.85
200108,2.20
200208,2.75
200308,-1.35
200408,1.47
200508,1.84
200608,-2.54
200708,-2.41
200808,0.74
200908,1.15
201008,1.89
201108,3.40
201208,-2.71
201308,0.93
201408,2.96
201508,1.54
201608,3.52
201708,3.01
201808,2.02
201908,3.91
202008,3.28
202108,-3.64
202208,0.80
202308,-3.76
