Mississippi August Palmer Hydrological Drought Index (PHDI)
Missing: -99
Date,Value
197408,3.66
197508,4.90
197608,1.13
197708,-1.72
197808,0.94
197908,3.38
198008,2.28
198108,-2.81
198208,-0.99
198308,3.57
198408,1.78
198508,-1.10
198608,-2.97
198708,0.66
198808,-2.67
198908,3.27
199008,0.95
199108,3.02
199208,2.34
199308,1.01
199408,1.97
199508,0.64
199608,0.34
199708,2.44
199808,-1.89
199908,-2.09
200008,-4.71
200108,1.92
200208,0.92
200308,3.87
200408,3.25
200508,2.03
200608,-3.18
200708,-3.11
200808,-0.72
200908,1.14
201008,-1.41
201108,-3.53
201208,2.16
201308,1.94
201408,2.36
201508,-0.54
201608,0.45
201708,3.46
201808,-0.84
201908,3.28
202008,3.83
202108,5.48
202208,2.33
202308,-1.23
