Nevada August Palmer Hydrological Drought Index (PHDI)
Missing: -99
Date,Value
197408,-2.80
197508,2.47
197608,-1.30
197708,-2.63
197808,2.77
197908,2.87
198008,4.13
198108,-3.93
198208,1.84
198308,7.71
198408,7.27
198508,-2.21
198608,-1.05
198708,-2.13
198808,-0.67
198908,-2.42
199008,-3.67
199108,-2.58
199208,-4.10
199308,2.74
199408,-3.96
199508,7.67
199608,0.87
199708,0.62
199808,7.56
199908,1.95
200008,-3.11
200108,-4.03
200208,-5.22
200308,-3.83
200408,-2.87
200508,5.77
200608,1.82
200708,-5.85
200808,-4.07
200908,-2.75
201008,-1.39
201108,3.82
201208,-4.66
201308,-5.36
201408,-4.55
201508,-5.53
201608,-2.10
201708,1.66
201808,-4.56
201908,3.96
202008,-4.00
202108,-6.11
202208,-4.87
202308,5.31
