New Jersey August Palmer Hydrological Drought Index (PHDI)
Missing: -99
Date,Value
197408,0.35
197508,2.91
197608,-1.68
197708,-1.99
197808,2.31
197908,2.64
198008,-1.84
198108,-2.18
198208,-0.51
198308,1.00
198408,3.15
198508,-2.11
198608,-1.29
198708,0.20
198808,-1.61
198908,2.92
199008,1.92
199108,-1.27
199208,-0.96
199308,-2.37
199408,1.63
199508,-3.51
199608,2.39
199708,1.82
199808,-1.40
199908,-3.79
200008,1.27
200108,-0.61
200208,-3.59
200308,2.48
200408,2.15
200508,-1.39
200608,1.37
200708,1.11
200808,-1.54
200908,2.52
201008,-2.84
201108,3.36
201208,-2.03
201308,2.21
201408,0.98
201508,-0.91
201608,-2.00
201708,1.27
201808,1.68
201908,3.43
202008,0.72
202108,1.59
202208,-2.75
202308,-1.06
