North Dakota August Palmer Hydrological Drought Index (PHDI)
Missing: -99
Date,Value
197408,1.91
197508,4.27
197608,-2.49
197708,-3.86
197808,2.77
197908,2.44
198008,-3.22
198108,-2.29
198208,1.14
198308,3.10
198408,-2.18
198508,-0.94
198608,3.08
198708,2.63
198808,-7.07
198908,-4.10
199008,-3.57
199108,-3.22
199208,-1.94
199308,6.76
199408,4.23
199508,6.76
199608,4.01
199708,3.69
199808,1.26
199908,6.14
200008,3.45
200108,3.41
200208,-1.46
200308,-1.58
200408,1.22
200508,3.38
200608,-2.98
200708,1.79
200808,-2.47
200908,4.43
201008,6.41
201108,9.49
201208,-2.90
201308,3.76
201408,7.38
201508,2.16
201608,1.02
201708,-2.96
201808,-2.64
201908,2.10
202008,4.15
202108,-5.41
202208,3.23
202308,0.65
