Ohio August Palmer Hydrological Drought Index (PHDI)
Missing: -99
Date,Value
197408,1.93
197508,2.05
197608,1.14
197708,-0.77
197808,1.07
197908,3.31
198008,4.83
198108,2.22
198208,-0.96
198308,-1.49
198408,-1.19
198508,-0.90
198608,0.43
198708,-1.25
198808,-4.06
198908,2.02
199008,3.39
199108,-3.27
199208,2.86
199308,-1.44
199408,0.50
199508,0.57
199608,2.10
199708,3.43
199808,2.10
199908,-2.95
200008,-0.73
200108,-0.91
200208,-1.90
200308,3.26
200408,3.85
200508,1.68
200608,1.05
200708,-0.96
200808,1.97
200908,0.31
201008,-0.77
201108,2.52
201208,-3.27
201308,1.81
201408,2.53
201508,2.31
201608,-0.97
201708,1.79
201808,2.64
201908,4.78
202008,1.56
202108,1.29
202208,2.39
202308,1.21
