Oregon August Palmer Hydrological Drought Index (PHDI)
Missing: -99
Date,Value
197408,1.18
197508,1.57
197608,1.19
197708,-2.87
197808,1.71
197908,-0.86
198008,0.75
198108,1.08
198208,2.41
198308,5.00
198408,4.19
198508,-2.52
198608,-1.50
198708,-1.73
198808,-1.72
198908,-0.05
199008,-0.59
199108,2.03
199208,-3.69
199308,3.99
199408,-3.03
199508,2.69
199608,2.47
199708,2.64
199808,2.48
199908,1.84
200008,-1.92
200108,-3.17
200208,-3.01
200308,-2.96
200408,-1.29
200508,1.23
200608,-1.19
200708,-2.42
200808,-1.23
200908,-0.95
201008,2.27
201108,3.33
201208,1.64
201308,-1.73
201408,-1.55
201508,-3.70
201608,-2.81
201708,0.85
201808,-3.15
201908,-1.56
202008,-1.60
202108,-5.24
202208,1.94
202308,-1.69
