Texas August Palmer Hydrological Drought Index (PHDI)
Missing: -99
Date,Value
197408,-0.91
197508,5.20
197608,0.60
197708,1.07
197808,-3.11
197908,4.80
198008,-2.36
198108,2.04
198208,0.57
198308,1.46
198408,-2.82
198508,1.61
198608,0.59
198708,5.39
198808,-1.23
198908,-0.76
199008,0.90
199108,1.95
199208,6.27
199308,3.59
199408,-1.33
199508,2.81
199608,-2.86
199708,3.80
199808,-2.94
199908,0.92
200008,-5.32
200108,1.30
200208,-1.15
200308,-1.26
200408,3.37
200508,2.17
200608,-5.28
200708,7.70
200808,-1.82
200908,-4.70
201008,2.38
201108,-7.86
201208,-4.01
201308,-4.67
201408,-3.20
201508,4.19
201608,5.75
201708,2.47
201808,-3.69
201908,3.86
202008,-2.48
202108,2.53
202208,-5.08
202308,-4.65
