Washington August Palmer Hydrological Drought Index (PHDI)
Missing: -99
Date,Value
197408,2.74
197508,1.18
197608,2.31
197708,-2.19
197808,1.41
197908,-2.35
198008,1.23
198108,2.13
198208,1.35
198308,3.27
198408,2.77
198508,-2.64
198608,-1.77
198708,-1.81
198808,-1.39
198908,-0.78
199008,1.87
199108,2.57
199208,-2.93
199308,2.94
199408,-2.41
199508,0.91
199608,1.91
199708,4.60
199808,1.01
199908,2.62
200008,-0.33
200108,-1.46
200208,-0.82
200308,-2.74
200408,-1.39
200508,-1.07
200608,-1.21
200708,-1.20
200808,-0.67
200908,-1.63
201008,2.10
201108,3.22
201208,2.79
201308,0.75
201408,1.09
201508,-3.73
201608,-2.09
201708,0.70
201808,-2.67
201908,-3.09
202008,-1.14
202108,-3.98
202208,2.07
202308,-3.47
