West Virginia August Palmer Hydrological Drought Index (PHDI)
Missing: -99
Date,Value
197408,2.17
197508,2.11
197608,-1.51
197708,-1.38
197808,1.45
197908,3.05
198008,3.14
198108,-0.98
198208,0.78
198308,-1.48
198408,0.78
198508,-0.77
198608,-1.47
198708,-2.61
198808,-4.47
198908,3.20
199008,1.58
199108,-3.41
199208,-0.69
199308,-2.55
199408,3.50
199508,-1.46
199608,3.77
199708,2.19
199808,1.77
199908,-4.81
200008,-0.83
200108,1.68
200208,-1.72
200308,3.64
200408,3.34
200508,0.87
200608,-1.66
200708,-1.88
200808,1.35
200908,1.41
201008,-1.21
201108,0.67
201208,-1.77
201308,2.00
201408,0.77
201508,1.25
201608,0.83
201708,1.21
201808,3.10
201908,3.02
202008,3.17
202108,0.41
202208,2.05
202308,0.55
