Wisconsin August Palmer Hydrological Drought Index (PHDI)
Missing: -99
Date,Value
197408,1.15
197508,0.74
197608,-3.13
197708,-4.27
197808,3.20
197908,3.33
198008,2.18
198108,1.70
198208,1.70
198308,1.87
198408,1.36
198508,1.32
198608,2.17
198708,-1.87
198808,-4.32
198908,-2.34
199008,2.37
199108,1.24
199208,0.63
199308,4.32
199408,1.28
199508,1.19
199608,1.81
199708,1.94
199808,0.79
199908,2.41
200008,1.74
200108,1.48
200208,2.21
200308,-1.48
200408,2.15
200508,-2.49
200608,-1.80
200708,-0.76
200808,1.97
200908,0.45
201008,3.17
201108,2.13
201208,-2.44
201308,1.96
201408,2.90
201508,1.29
201608,3.64
201708,4.89
201808,3.02
201908,4.83
202008,4.35
202108,1.53
202208,0.97
202308,-2.93
