Illinois August Palmer Modified Drought Index (PMDI)
Missing: -99
Date,Value
197408,2.70
197508,2.39
197608,-1.34
197708,0.64
197808,0.65
197908,1.99
198008,0.06
198108,3.71
198208,3.04
198308,-0.83
198408,-1.74
198508,1.57
198608,-0.35
198708,-0.40
198808,-4.13
198908,-1.02
199008,2.92
199108,-2.59
199208,0.21
199308,4.69
199408,0.55
199508,0.33
199608,0.78
199708,0.61
199808,1.96
199908,-0.18
200008,1.75
200108,0.37
200208,1.16
200308,0.47
200408,1.66
200508,-2.90
200608,-1.47
200708,-0.79
200808,2.50
200908,4.95
201008,3.92
201108,1.32
201208,-4.28
201308,0.74
201408,1.96
201508,3.56
201608,3.71
201708,1.08
201808,1.76
201908,4.14
202008,2.41
202108,2.01
202208,1.47
202308,-0.60
