Indiana August Palmer Modified Drought Index (PMDI)
Missing: -99
Date,Value
197408,1.18
197508,2.24
197608,-0.27
197708,1.53
197808,2.09
197908,4.10
198008,2.33
198108,2.41
198208,1.77
198308,-1.97
198408,-1.54
198508,1.02
198608,0.71
198708,-0.12
198808,-3.81
198908,2.21
199008,3.88
199108,-2.68
199208,2.04
199308,2.97
199408,0.27
199508,-0.22
199608,1.28
199708,2.98
199808,2.60
199908,-1.75
200008,1.33
200108,1.21
200208,-0.45
200308,2.54
200408,3.34
200508,-0.15
200608,1.90
200708,-1.25
200808,2.28
200908,2.84
201008,0.07
201108,0.37
201208,-4.02
201308,-0.43
201408,2.18
201508,3.52
201608,3.15
201708,2.19
201808,2.79
201908,4.15
202008,1.81
202108,1.35
202208,1.35
202308,0.49
