Iowa August Palmer Modified Drought Index (PMDI)
Missing: -99
Date,Value
197408,2.56
197508,-0.47
197608,-2.10
197708,-1.68
197808,2.15
197908,3.26
198008,1.36
198108,1.58
198208,3.50
198308,0.56
198408,1.16
198508,-1.45
198608,2.36
198708,1.79
198808,-4.27
198908,-4.97
199008,3.64
199108,-0.39
199208,1.60
199308,9.15
199408,1.38
199508,0.45
199608,1.49
199708,-0.67
199808,2.59
199908,2.59
200008,-0.45
200108,-0.39
200208,0.81
200308,-1.13
200408,1.93
200508,-0.51
200608,-0.92
200708,3.30
200808,4.76
200908,4.70
201008,6.52
201108,2.16
201208,-3.95
201308,-0.91
201408,3.01
201508,3.78
201608,4.17
201708,0.75
201808,2.48
201908,3.42
202008,-1.02
202108,-0.53
202208,-1.07
202308,-2.37
