Kansas August Palmer Modified Drought Index (PMDI)
Missing: -99
Date,Value
197408,1.44
197508,1.56
197608,-1.29
197708,1.53
197808,-0.76
197908,2.04
198008,-2.03
198108,-0.57
198208,2.48
198308,-1.35
198408,-1.21
198508,2.91
198608,2.91
198708,4.72
198808,-1.82
198908,-0.07
199008,1.12
199108,-3.49
199208,3.02
199308,7.80
199408,1.60
199508,3.88
199608,1.37
199708,3.19
199808,1.53
199908,4.15
200008,-1.36
200108,0.98
200208,-3.37
200308,-0.31
200408,1.63
200508,3.26
200608,-1.90
200708,2.63
200808,3.21
200908,4.16
201008,3.84
201108,-2.60
201208,-3.90
201308,0.16
201408,-0.12
201508,2.26
201608,3.00
201708,1.87
201808,-1.66
201908,6.26
202008,2.39
202108,-0.21
202208,-3.35
202308,-3.04
